X,Y,Volume
494519.850,4038433.626,163.150
494529.850,4038433.626,415.531
494539.850,4038433.626,485.853
494549.850,4038433.626,115.668
494519.850,4038443.626,220.472
494529.850,4038443.626,299.753
494539.850,4038443.626,518.430
494549.850,4038443.626,289.930
494559.850,4038443.626,28.368
494569.850,4038443.626,-5.700
494579.850,4038443.626,17.730
494589.850,4038443.626,6.513
494599.850,4038443.626,-46.034
494509.850,4038453.626,274.595
494519.850,4038453.626,295.234
494529.850,4038453.626,590.547
494539.850,4038453.626,449.349
494549.850,4038453.626,270.509
494559.850,4038453.626,79.817
494569.850,4038453.626,12.923
494579.850,4038453.626,5.739
494589.850,4038453.626,25.896
494599.850,4038453.626,20.749
494609.850,4038453.626,51.939
494619.850,4038453.626,2.839
494629.850,4038453.626,28.875
494639.850,4038453.626,53.818
494509.850,4038463.626,187.198
494519.850,4038463.626,284.392
494529.850,4038463.626,550.206
494539.850,4038463.626,346.390
494549.850,4038463.626,271.979
494559.850,4038463.626,155.561
494569.850,4038463.626,119.857
494579.850,4038463.626,60.588
494589.850,4038463.626,35.192
494599.850,4038463.626,124.961
494609.850,4038463.626,153.467
494619.850,4038463.626,62.177
494629.850,4038463.626,64.673
494639.850,4038463.626,13.042
494649.850,4038463.626,-17.666
494659.850,4038463.626,28.840
494669.850,4038463.626,50.253
494679.850,4038463.626,106.630
494689.850,4038463.626,169.579
494509.850,4038473.626,201.697
494519.850,4038473.626,356.663
494529.850,4038473.626,536.422
494539.850,4038473.626,373.596
494549.850,4038473.626,374.548
494559.850,4038473.626,277.736
494569.850,4038473.626,215.223
494579.850,4038473.626,154.737
494589.850,4038473.626,61.670
494599.850,4038473.626,84.469
494609.850,4038473.626,35.357
494619.850,4038473.626,121.480
494629.850,4038473.626,235.119
494639.850,4038473.626,94.902
494649.850,4038473.626,244.951
494659.850,4038473.626,62.655
494669.850,4038473.626,76.943
494679.850,4038473.626,-5.929
494689.850,4038473.626,23.829
494699.850,4038473.626,29.141
494709.850,4038473.626,22.285
494719.850,4038473.626,28.466
494499.850,4038483.626,174.739
494509.850,4038483.626,222.594
494519.850,4038483.626,398.440
494529.850,4038483.626,512.000
494539.850,4038483.626,445.654
494549.850,4038483.626,406.703
494559.850,4038483.626,353.961
494569.850,4038483.626,308.337
494579.850,4038483.626,244.999
494589.850,4038483.626,268.997
494599.850,4038483.626,56.505
494609.850,4038483.626,143.469
494619.850,4038483.626,186.563
494629.850,4038483.626,143.948
494639.850,4038483.626,111.848
494649.850,4038483.626,280.541
494659.850,4038483.626,132.321
494669.850,4038483.626,147.972
494679.850,4038483.626,108.758
494689.850,4038483.626,61.834
494699.850,4038483.626,1.544
494709.850,4038483.626,37.273
494719.850,4038483.626,19.653
494729.850,4038483.626,-23.043
494499.850,4038493.626,121.812
494509.850,4038493.626,236.710
494519.850,4038493.626,456.952
494529.850,4038493.626,474.954
494539.850,4038493.626,469.189
494549.850,4038493.626,451.409
494559.850,4038493.626,421.972
494569.850,4038493.626,385.598
494579.850,4038493.626,312.070
494589.850,4038493.626,244.017
494599.850,4038493.626,136.393
494609.850,4038493.626,50.222
494619.850,4038493.626,47.939
494629.850,4038493.626,320.151
494639.850,4038493.626,177.206
494649.850,4038493.626,121.524
494659.850,4038493.626,180.380
494669.850,4038493.626,210.833
494679.850,4038493.626,156.623
494689.850,4038493.626,112.657
494699.850,4038493.626,32.693
494709.850,4038493.626,51.942
494719.850,4038493.626,77.581
494499.850,4038503.626,149.401
494509.850,4038503.626,265.814
494519.850,4038503.626,458.461
494529.850,4038503.626,512.977
494539.850,4038503.626,601.340
494549.850,4038503.626,618.127
494559.850,4038503.626,578.205
494569.850,4038503.626,517.297
494579.850,4038503.626,425.698
494589.850,4038503.626,352.623
494599.850,4038503.626,276.684
494609.850,4038503.626,143.585
494619.850,4038503.626,139.163
494629.850,4038503.626,248.445
494639.850,4038503.626,252.424
494649.850,4038503.626,109.868
494659.850,4038503.626,203.341
494669.850,4038503.626,285.815
494679.850,4038503.626,264.844
494689.850,4038503.626,228.900
494699.850,4038503.626,158.502
494709.850,4038503.626,97.778
494719.850,4038503.626,90.740
494499.850,4038513.626,268.986
494509.850,4038513.626,320.718
494519.850,4038513.626,433.642
494529.850,4038513.626,581.544
494539.850,4038513.626,658.843
494549.850,4038513.626,692.485
494559.850,4038513.626,653.866
494569.850,4038513.626,600.275
494579.850,4038513.626,530.906
494589.850,4038513.626,463.772
494599.850,4038513.626,406.684
494609.850,4038513.626,247.396
494619.850,4038513.626,196.867
494629.850,4038513.626,360.758
494639.850,4038513.626,308.069
494649.850,4038513.626,284.970
494659.850,4038513.626,249.038
494669.850,4038513.626,373.072
494679.850,4038513.626,364.592
494689.850,4038513.626,393.426
494699.850,4038513.626,201.420
494709.850,4038513.626,189.664
494719.850,4038513.626,-40.899
494489.850,4038523.626,184.751
494499.850,4038523.626,303.696
494509.850,4038523.626,325.104
494519.850,4038523.626,418.421
494529.850,4038523.626,626.953
494539.850,4038523.626,733.969
494549.850,4038523.626,786.677
494559.850,4038523.626,717.851
494569.850,4038523.626,651.794
494579.850,4038523.626,605.104
494589.850,4038523.626,553.815
494599.850,4038523.626,435.895
494609.850,4038523.626,277.323
494619.850,4038523.626,241.089
494629.850,4038523.626,375.049
494639.850,4038523.626,383.241
494649.850,4038523.626,373.376
494659.850,4038523.626,369.324
494669.850,4038523.626,338.549
494679.850,4038523.626,392.085
494689.850,4038523.626,425.064
494699.850,4038523.626,210.383
494709.850,4038523.626,199.056
494719.850,4038523.626,-237.766
494489.850,4038533.626,206.941
494499.850,4038533.626,265.900
494509.850,4038533.626,317.046
494519.850,4038533.626,381.192
494529.850,4038533.626,571.773
494539.850,4038533.626,727.026
494549.850,4038533.626,754.035
494559.850,4038533.626,698.214
494569.850,4038533.626,648.448
494579.850,4038533.626,669.564
494589.850,4038533.626,619.060
494599.850,4038533.626,506.742
494609.850,4038533.626,282.881
494619.850,4038533.626,336.465
494629.850,4038533.626,458.458
494639.850,4038533.626,410.437
494649.850,4038533.626,427.881
494659.850,4038533.626,465.689
494669.850,4038533.626,444.766
494679.850,4038533.626,392.624
494689.850,4038533.626,517.424
494699.850,4038533.626,192.900
494709.850,4038533.626,179.416
494719.850,4038533.626,-391.181
494489.850,4038543.626,162.907
494499.850,4038543.626,261.375
494509.850,4038543.626,330.196
494519.850,4038543.626,377.219
494529.850,4038543.626,367.129
494539.850,4038543.626,548.442
494549.850,4038543.626,620.716
494559.850,4038543.626,591.848
494569.850,4038543.626,582.557
494579.850,4038543.626,607.386
494589.850,4038543.626,692.639
494599.850,4038543.626,672.985
494609.850,4038543.626,491.783
494619.850,4038543.626,410.789
494629.850,4038543.626,516.644
494639.850,4038543.626,515.534
494649.850,4038543.626,512.407
494659.850,4038543.626,543.459
494669.850,4038543.626,531.817
494679.850,4038543.626,436.404
494689.850,4038543.626,371.545
494699.850,4038543.626,259.603
494709.850,4038543.626,7.281
494719.850,4038543.626,-535.434
494489.850,4038553.626,87.416
494499.850,4038553.626,211.250
494509.850,4038553.626,283.913
494519.850,4038553.626,388.502
494529.850,4038553.626,469.362
494539.850,4038553.626,545.168
494549.850,4038553.626,647.957
494559.850,4038553.626,682.090
494569.850,4038553.626,645.482
494579.850,4038553.626,608.236
494589.850,4038553.626,572.100
494599.850,4038553.626,561.619
494609.850,4038553.626,407.591
494619.850,4038553.626,326.746
494629.850,4038553.626,449.793
494639.850,4038553.626,509.026
494649.850,4038553.626,545.988
494659.850,4038553.626,625.292
494669.850,4038553.626,650.493
494679.850,4038553.626,602.022
494689.850,4038553.626,419.150
494699.850,4038553.626,471.260
494709.850,4038553.626,72.719
494719.850,4038553.626,-602.394
494499.850,4038563.626,-54.665
494509.850,4038563.626,71.529
494519.850,4038563.626,259.974
494529.850,4038563.626,426.356
494539.850,4038563.626,486.522
494549.850,4038563.626,678.806
494559.850,4038563.626,555.275
494569.850,4038563.626,569.622
494579.850,4038563.626,677.502
494589.850,4038563.626,631.568
494599.850,4038563.626,555.554
494609.850,4038563.626,472.461
494619.850,4038563.626,334.106
494629.850,4038563.626,374.643
494639.850,4038563.626,462.317
494649.850,4038563.626,472.558
494659.850,4038563.626,491.782
494669.850,4038563.626,539.869
494679.850,4038563.626,497.019
494689.850,4038563.626,486.803
494699.850,4038563.626,529.832
494709.850,4038563.626,235.914
494719.850,4038563.626,-501.286
494559.850,4038573.626,-187.281
494569.850,4038573.626,152.945
494579.850,4038573.626,335.500
494589.850,4038573.626,424.119
